x_m,x_over_Dh,T_bulk_K,Tw_minus_Tbulk_K,wall_sngrad_K_per_m,wall_face_samples,Nu_local
0.002,0.08333333333333333,294.3399190055402,8.810080994459781,8676.899999999818,2,23.637194723970286
0.006,0.25,295.29182393369604,7.85817606630394,3300.699999999779,2,10.080812561540629
0.01,0.4166666666666667,295.84215202418903,7.307847975810944,2550.5999999995765,2,8.376528931993409
0.014,0.5833333333333334,296.39851661673555,6.7514833832644285,2223.9999999999327,2,7.905818169131064
0.018000000000000002,0.7500000000000001,296.85531413440447,6.294685865595511,2013.900000000035,2,7.678476898136397
0.022,0.9166666666666666,297.2963306152405,5.853669384759485,1853.399999999965,2,7.598925917444314
0.026000000000000002,1.0833333333333335,297.6913960222336,5.458603977766359,1718.3999999997468,2,7.555338355370092
0.03,1.25,298.06448406360994,5.085515936390038,1598.6999999995533,2,7.544721220011638
0.034,1.4166666666666667,298.40839704635096,4.741602953649021,1489.3999999998186,2,7.538716410762886
0.038,1.5833333333333333,298.7304883119943,4.419511688005684,1388.3999999995922,2,7.539656494273617
0.042,1.75,299.0298316936094,4.120168306390553,1294.3999999998823,2,7.539886162371845
0.046,1.9166666666666665,299.30932427884403,3.8406757211559466,1206.7999999999302,2,7.541172986945415
0.05,2.0833333333333335,299.5696515754778,3.5803484245221853,1125.0999999998612,2,7.541835821076623
0.054,2.25,299.8124530653189,3.337546934681086,1048.8999999995485,2,7.5425456158849755
0.058,2.4166666666666665,300.0387415082788,3.1112584917211734,977.800000000002,2,7.542671257449201
0.062,2.5833333333333335,300.2497211367156,2.9002788632843703,911.4999999997053,2,7.542722969480194
0.066,2.75,300.4463802520316,2.703619747968389,849.6999999999844,2,7.5427766849697
0.07,2.916666666666667,300.6297167515197,2.5202832484802684,792.0999999998912,2,7.542961693476583
0.074,3.083333333333333,300.8006157250822,2.3493842749177816,738.3999999996149,2,7.5430827511650635
0.078,3.25,300.95993012957706,2.190069870422917,688.2999999999129,2,7.542773051714529
0.082,3.4166666666666665,301.1084403272391,2.0415596727608545,641.6999999999007,2,7.543644305615967
0.08600000000000001,3.5833333333333335,301.2468793020923,1.9031206979076956,598.0999999997039,2,7.542558922181984
0.09,3.75,301.37593203811537,1.7740679618846116,557.5999999996384,2,7.54334122903333
0.094,3.9166666666666665,301.4962337162603,1.6537662837396852,519.7999999995773,2,7.543508488865493
0.098,4.083333333333333,301.60837671349344,1.5416232865065354,484.50000000002547,2,7.542698726581098
0.10200000000000001,4.25,301.71291525769226,1.437084742307718,451.6999999998461,2,7.543605245288314
0.106,4.416666666666666,301.8103651700814,1.339634829918566,421.0000000000491,2,7.5423539119353755
0.11,4.583333333333333,301.9012085115562,1.2487914884437714,392.49999999981355,2,7.543292925334248
0.114,4.75,301.9858891452105,1.1641108547894987,365.89999999989686,2,7.543611472968753
0.11800000000000001,4.916666666666667,302.064829611533,1.0851703884669632,341.0999999999831,2,7.543884432346745
0.122,5.083333333333333,302.1384161136639,1.0115838863360977,317.90000000000873,2,7.542231645893658
0.126,5.25,302.20701158486247,0.9429884151375063,296.39999999972133,2,7.543676980332795
0.13,5.416666666666667,302.2709568970165,0.8790431029834735,276.2999999998783,2,7.543657390053772
0.134,5.583333333333334,302.33056456003544,0.8194354399645363,257.4999999995953,2,7.5417777882022605
0.138,5.75,302.3861327781333,0.7638672218666898,240.09999999975662,2,7.543719425363449
0.14200000000000002,5.916666666666667,302.43793185494116,0.7120681450588222,223.7999999999829,2,7.543098279668006
0.146,6.083333333333333,302.48621664078786,0.6637833592121183,208.5999999997057,2,7.542219807883273
0.15,6.25,302.53122839314534,0.6187716068546365,194.4999999994934,2,7.543978987200783
0.154,6.416666666666666,302.573188178818,0.576811821181991,181.29999999985102,2,7.543534720006317
0.158,6.583333333333333,302.61230232979375,0.5376976702062279,168.99999999964166,2,7.543272408890607
0.162,6.75,302.64876397443726,0.5012360255627186,157.49999999968622,2,7.541357378988885
0.166,6.916666666666667,302.68275413879167,0.4672458612083119,146.89999999973224,2,7.545492197354656
0.17,7.083333333333334,302.7144382920413,0.43556170795869775,136.8999999999687,2,7.543362834619996
0.17400000000000002,7.250000000000001,302.7439732637249,0.40602673627506647,127.59999999957472,2,7.542360456566444
0.178,7.416666666666666,302.77150675623034,0.3784932437696398,118.99999999968713,2,7.545709327722432
0.182,7.583333333333333,302.7971719633387,0.35282803666126483,110.89999999967404,2,7.543618203299036
0.186,7.75,302.8210987873263,0.3289012126736566,103.39999999985139,2,7.5451226823500175
0.19,7.916666666666667,302.84340316933725,0.3065968306627269,96.39999999990323,2,7.54606626231816
0.194,8.083333333333334,302.8641912293049,0.28580877069509825,89.7999999995136,2,7.540706307741343
0.198,8.25,302.88357237089366,0.26642762910631745,83.6999999995669,2,7.539758570564758
0.202,8.416666666666668,302.9016405241425,0.24835947585745544,78.09999999949468,2,7.547124962784484
0.20600000000000002,8.583333333333334,302.918482937247,0.23151706275297101,72.79999999980191,2,7.546743981714688
0.21,8.75,302.93418089615955,0.21581910384043113,67.79999999992015,2,7.539647654181609
0.214,8.916666666666666,302.94881505496085,0.20118494503913098,63.19999999959691,2,7.539331532462851
0.218,9.083333333333334,302.96245869960336,0.18754130039661732,58.89999999965312,2,7.53753971526355
0.222,9.25,302.9751753925523,0.17482460744770378,54.89999999952033,2,7.536696459522317
0.226,9.416666666666666,302.9870307251457,0.1629692748542766,51.19999999976699,2,7.540071593821428
0.23,9.583333333333334,302.99808051859424,0.1519194814057414,47.69999999950869,2,7.53557074705064
0.234,9.75,303.008382840638,0.14161715936199926,44.499999999629836,2,7.54145899269956
0.23800000000000002,9.916666666666668,303.01798609771794,0.1320139022820399,41.49999999981446,2,7.544659939433136
0.242,10.083333333333332,303.0269394314216,0.12306056857835301,38.69999999949414,2,7.547502914359523
0.246,10.25,303.03528439977305,0.11471560022692984,36.09999999980573,2,7.552590914238598
0.25,10.416666666666666,303.0430620310892,0.10693796891075635,33.59999999986485,2,7.540820236353345
0.254,10.583333333333334,303.05031433092296,0.0996856690770187,31.29999999998745,2,7.535686994479717
0.258,10.75,303.05707424985707,0.0929257501429106,29.199999999605097,2,7.541504899479007
0.262,10.916666666666666,303.0633748117677,0.08662518823228993,27.199999999538704,2,7.535914360594656
0.266,11.083333333333334,303.0692492270926,0.08075077290737909,25.399999999535794,2,7.549153748510476
0.27,11.25,303.0747247684585,0.0752752315414682,23.699999999848842,2,7.55627034747847
0.274,11.416666666666668,303.07982907051337,0.07017092948660775,22.099999999909414,2,7.5586856819255015
0.278,11.583333333333334,303.08458841421145,0.06541158578852446,20.59999999971751,2,7.5582940549953115
0.28200000000000003,11.750000000000002,303.0890234203195,0.06097657968047088,19.199999999841566,2,7.556999792557718
0.28600000000000003,11.916666666666668,303.0931578989426,0.0568421010573843,17.899999999713145,2,7.557778336860168
0.29,12.083333333333332,303.09701418211876,0.05298581788122192,16.699999999900683,2,7.5642882572104115
0.294,12.249999999999998,303.10060653081405,0.04939346918592946,15.499999999519787,2,7.531360038473369
0.298,12.416666666666666,303.1039562887265,0.0460437112734553,14.499999999770807,2,7.558035405263371
0.302,12.583333333333332,303.10707853969836,0.04292146030161348,13.500000000021828,2,7.548671404088837
0.306,12.75,303.10998802665017,0.040011973349805885,12.600000000020373,2,7.55773771407743
0.31,12.916666666666666,303.11270106607276,0.03729893392721806,11.700000000018917,2,7.528365302568247
0.314,13.083333333333334,303.1152316890601,0.03476831093985311,10.899999999764987,2,7.524092857053381
0.318,13.25,303.1175886107704,0.03241138922959408,10.199999999827014,2,7.552900564111803
0.322,13.416666666666666,303.11978687506814,0.03021312493183359,9.499999999889042,2,7.546389210376194
0.326,13.583333333333334,303.12183444419634,0.02816555580363911,8.899999999698593,2,7.583731046598705
0.33,13.75,303.1237450916146,0.026254908385396902,8.299999999508145,2,7.587152735942945
0.334,13.916666666666668,303.12552531260303,0.024474687396946138,7.699999999886131,2,7.550658237225364
0.338,14.083333333333334,303.12718532148733,0.022814678512645514,7.2000000000116415,2,7.574071223686162
0.342,14.25,303.12873282953825,0.021267170461726437,6.699999999568718,2,7.560949411631119
0.34600000000000003,14.416666666666668,303.1301743442523,0.019825655747695237,6.199999999694228,2,7.505426397306414
0.35000000000000003,14.583333333333334,303.1315192459737,0.018480754026256818,5.799999999567262,2,7.53216020254605
0.354,14.749999999999998,303.1327718212098,0.017228178790162474,5.400000000008731,2,7.52255949852418
0.358,14.916666666666666,303.13394051637914,0.01605948362083609,4.999999999881766,2,7.472220329766427
0.362,15.083333333333332,303.13503020766177,0.014969792338206389,4.6999999995023245,2,7.535174666395603
0.366,15.25,303.1360450349798,0.01395496502016158,4.3999999996913175,2,7.5671991896808715
0.37,15.416666666666666,303.136991715713,0.013008284286968319,4.0999999998803105,2,7.564410327017871
0.374,15.583333333333332,303.13787352915,0.012126470849977977,3.7999999995008693,2,7.520737163870434
0.378,15.75,303.13869509161526,0.011304908384715873,3.6000000000058208,2,7.642697937910905
0.382,15.916666666666666,303.13946184453044,0.01053815546953274,3.2999999996263796,2,7.51554674060477
0.386,16.083333333333332,303.1401773914488,0.00982260855118966,3.099999999562897,2,7.57436271656154
0.39,16.25,303.1408427029424,0.009157297057583946,2.899999999499414,2,7.600496036146843
0.394,16.416666666666668,303.1414639966681,0.008536003331869324,2.7000000000043656,2,7.5913747313303865
0.398,16.583333333333332,303.1420424908382,0.007957509161769849,2.499999999940883,2,7.540047869104362
0.402,16.75,303.1425820999442,0.007417900055770588,2.2999999998774,2,7.441459116736954
0.406,16.916666666666668,303.14308524708474,0.006914752915236022,2.1999999995614417,2,7.635847677671122
0.41000000000000003,17.083333333333336,303.143553964464,0.006446035535986994,1.999999999497959,2,7.446437383097893
0.41400000000000003,17.25,303.14399141587967,0.006008584120309024,1.8999999997504347,2,7.589142313890948
0.418,17.416666666666664,303.1443986263185,0.005601373681486166,1.8000000000029104,2,7.712393862037063
0.422,17.583333333333332,303.14477798667383,0.005222013326147135,1.5999999999394277,2,7.353485638627861
0.426,17.75,303.1451320710715,0.004867928928490528,1.4999999996234692,2,7.395342150594282
0.43,17.916666666666664,303.1454626785117,0.004537321488271573,1.399999999875945,2,7.4052500101380545
0.434,18.083333333333332,303.1457698500831,0.004230149916850223,1.2999999995599865,2,7.375625120319907
0.438,18.25,303.1460579933368,0.003942006663180564,1.1999999998124622,2,7.305923722681416
0.442,18.416666666666668,303.1463240266519,0.0036759733480948853,1.1999999998124622,2,7.834659631149126
0.446,18.583333333333332,303.14657455302597,0.003425446974006263,1.0999999994965037,2,7.707023401106608
0.45,18.75,303.14680621765683,0.0031937823431462675,0.9999999997489795,2,7.514601001373363
0.454,18.916666666666668,303.1470235480287,0.002976451971278493,0.9000000000014552,2,7.2569623862457115
0.458,19.083333333333332,303.147223878956,0.002776121043950752,0.9000000000014552,2,7.780640562162067
0.462,19.25,303.147413404775,0.0025865952249546353,0.7999999996854967,2,7.422885423747992
0.466,19.416666666666668,303.1475888517489,0.0024111482510988935,0.7999999996854967,2,7.963010977737026
0.47000000000000003,19.583333333333336,303.14775189006093,0.0022481099390461168,0.6999999999379725,2,7.472944141530576
0.47400000000000003,19.75,303.1479046029984,0.002095397001596666,0.6999999999379725,2,8.017573751279567
0.47800000000000004,19.916666666666668,303.14804562576336,0.0019543742366181505,0.599999999622014,2,7.368087299311773
0.482,20.083333333333332,303.14817779788996,0.0018222021100200436,0.599999999622014,2,7.902526241049046
0.486,20.25,303.1483026229871,0.0016973770128743126,0.49999999987448973,2,7.069731654175718
0.49,20.416666666666664,303.1484167651304,0.001583234869599437,0.49999999987448973,2,7.5794187125399715
0.494,20.583333333333332,303.1485245452527,0.0014754547472648483,0.49999999987448973,2,8.13308576168329
0.498,20.75,303.14862418767353,0.0013758123264437927,0.39999999955853127,2,6.977695870932399
0.502,20.916666666666668,303.1487176846196,0.0012823153803651621,0.39999999955853127,2,7.486457806246525
0.506,21.083333333333332,303.14880501054955,0.0011949894504255099,0.39999999955853127,2,8.033543715374558
0.51,21.25,303.14888647640197,0.0011135235980077596,0.39999999955853127,2,8.621281135469797
0.514,21.416666666666668,303.14896144142136,0.0010385585786139018,0.299999999811007,2,6.932685496732934
0.518,21.583333333333332,303.14903248084397,0.0009675191560063467,0.299999999811007,2,7.441713118305367
0.522,21.75,303.14909722487505,0.0009027751249277571,0.299999999811007,2,7.975408046428322
0.526,21.916666666666668,303.14915786340913,0.0008421365908475309,0.299999999811007,2,8.549681932497492
0.53,22.083333333333336,303.14921689727913,0.0007831027208453634,0.19999999949504854,2,6.1294640666036
0.534,22.25,303.14926916046636,0.000730839533616745,0.19999999949504854,2,6.567789189135878
0.538,22.416666666666668,303.1493186440866,0.0006813559134002389,0.19999999949504854,2,7.044776296028961
0.542,22.583333333333336,303.149364285397,0.0006357146029927208,0.19999999949504854,2,7.550558010283944
0.546,22.75,303.1494083198222,0.0005916801777630099,0.19999999949504854,2,8.112490781808386
0.55,22.916666666666668,303.14944712159905,0.0005528784009243282,0.19999999949504854,2,8.681836692944232
0.554,23.083333333333336,303.14948534813993,0.0005146518600440686,0.19999999949504854,2,9.326693169767521
0.558,23.25,303.1495200699611,0.0004799300388640404,0.19999999949504854,2,10.001457710883063
0.562,23.416666666666668,303.14955331149355,0.0004466885064289272,0.09999999974752427,2,5.372871608288062
0.5660000000000001,23.583333333333336,303.1495841898944,0.0004158101055509178,0.09999999974752427,2,5.77186547874001
0.5700000000000001,23.750000000000004,303.14961063742356,0.0003893625764135322,0.09999999974752427,2,6.1639205699923325
0.5740000000000001,23.916666666666668,303.1496371171572,0.0003628828427508779,0.09999999974752427,2,6.613704786225461
0.578,24.083333333333332,303.1496619888951,0.00033801110487274855,0.09999999974752427,2,7.100358418236328
0.582,24.249999999999996,303.1496845585785,0.0003154414214918688,0.09999999974752427,2,7.608385679312086
0.586,24.416666666666664,303.14970738478615,0.0002926152138229554,0.09999999974752427,2,8.20189751101829
0.59,24.583333333333332,303.14972678845083,0.0002732115491426157,0.09999999974752427,2,8.784401689724284
0.594,24.75,303.1497449583565,0.0002550416434701219,0.09999999974752427,2,9.410227919197604
0.598,24.916666666666664,303.14976285285945,0.00023714714052402996,0.09999999974752427,2,10.120299104755142
0.602,25.083333333333332,303.14977851304815,0.00022148695182977463,0.09999999974752427,2,10.83585274036874
0.606,25.25,303.1497935024985,0.00020649750149459578,0.09999999974752427,2,11.622416622815132
0.61,25.416666666666664,303.1498072515269,0.00019274847306860465,0.09999999974752427,2,12.451460474534366
