pair,lag_samples,lag_s,te_bits,surr_mean_bits,surr_p95_bits,excess_te_bits
Ux_1D_to_T_1D,1,0.005,0.1026135085,0.01919436103,0.02722097045,0.08341914751
Ux_1D_to_T_1D,2,0.01,0.1274874739,0.02002109351,0.0273594117,0.1074663804
Ux_1D_to_T_1D,3,0.015,0.1473507536,0.01922452678,0.02812015763,0.1281262268
Ux_1D_to_T_1D,4,0.02,0.1592001438,0.01813630667,0.02501615251,0.1410638372
Ux_1D_to_T_1D,5,0.025,0.1707975967,0.0184408538,0.02571417809,0.1523567429
Ux_1D_to_T_1D,6,0.03,0.1601390612,0.01880284138,0.02698466647,0.1413362198
Ux_1D_to_T_1D,7,0.035,0.1574470457,0.02016131149,0.02798345363,0.1372857342
Ux_1D_to_T_1D,8,0.04,0.1582049358,0.01923898257,0.02864676377,0.1389659532
Ux_1D_to_T_1D,9,0.045,0.1498067178,0.0184609779,0.02872229615,0.1313457399
Ux_1D_to_T_1D,10,0.05,0.1631471922,0.0193744171,0.02827396988,0.1437727751
Ux_1D_to_T_1D,11,0.055,0.158701944,0.01877837854,0.02639088102,0.1399235654
Ux_1D_to_T_1D,12,0.06,0.1468797557,0.01801344754,0.02729918335,0.1288663082
Ux_1D_to_T_1D,13,0.065,0.1304569987,0.01915385513,0.02804188141,0.1113031435
Ux_1D_to_T_1D,14,0.07,0.1238130549,0.01863296017,0.02675224415,0.1051800947
Ux_1D_to_T_1D,15,0.075,0.07040113088,0.01947015176,0.02947239039,0.05093097912
Ux_1D_to_T_1D,16,0.08,0.06250835643,0.01802020807,0.02397438464,0.04448814836
Ux_1D_to_T_1D,17,0.085,0.1150463809,0.01910542706,0.02647167314,0.09594095387
Ux_1D_to_T_1D,18,0.09,0.127589256,0.01821239906,0.02656260427,0.1093768569
Ux_1D_to_T_1D,19,0.095,0.1472801012,0.01983499878,0.02849706115,0.1274451024
Ux_1D_to_T_1D,20,0.1,0.1797260229,0.01918565322,0.02797986197,0.1605403697
Ux_1D_to_T_1D,21,0.105,0.1780420304,0.01924132629,0.02913118795,0.1588007041
Ux_1D_to_T_1D,22,0.11,0.1899913357,0.01877545786,0.0262556406,0.1712158778
Ux_1D_to_T_1D,23,0.115,0.2259435545,0.01925121027,0.02741594724,0.2066923442
Ux_1D_to_T_1D,24,0.12,0.2064929956,0.01906146802,0.0283152122,0.1874315276
Ux_1D_to_T_1D,25,0.125,0.1928543751,0.01944953144,0.02999738847,0.1734048437
Ux_1D_to_T_1D,26,0.13,0.1886805036,0.01865474385,0.02610998238,0.1700257598
Ux_1D_to_T_1D,27,0.135,0.1900835209,0.01957334378,0.02803110902,0.1705101772
Ux_1D_to_T_1D,28,0.14,0.167020757,0.01913260168,0.02775903766,0.1478881553
Ux_1D_to_T_1D,29,0.145,0.1514001337,0.01987317112,0.02764678111,0.1315269626
Ux_1D_to_T_1D,30,0.15,0.1043177881,0.0183999176,0.02730949283,0.08591787048
Ux_1D_to_T_1D,31,0.155,0.05843029429,0.01926998539,0.02777037683,0.0391603089
Ux_1D_to_T_1D,32,0.16,0.07223087437,0.01920038826,0.02590930055,0.05303048611
Ux_1D_to_T_1D,33,0.165,0.09186951921,0.01903957481,0.02790789174,0.0728299444
Ux_1D_to_T_1D,34,0.17,0.1313018708,0.01946906124,0.02680592058,0.1118328095
Ux_1D_to_T_1D,35,0.175,0.1609603149,0.01953012578,0.02803017285,0.1414301892
Ux_1D_to_T_1D,36,0.18,0.1496778761,0.01866296608,0.02629331838,0.13101491
Ux_1D_to_T_1D,37,0.185,0.1623453702,0.0194714518,0.0285504077,0.1428739184
Ux_1D_to_T_1D,38,0.19,0.1591410871,0.01880623452,0.02668690251,0.1403348525
Ux_1D_to_T_1D,39,0.195,0.1663612555,0.01893367606,0.02805807247,0.1474275794
Ux_1D_to_T_1D,40,0.2,0.1606208543,0.01921478732,0.0275546343,0.141406067
Ux_1D_to_T_1D,41,0.205,0.1498353998,0.01918298788,0.02830183676,0.1306524119
Ux_1D_to_T_1D,42,0.21,0.172852665,0.01949396511,0.0262639917,0.1533586999
Ux_1D_to_T_1D,43,0.215,0.1702852828,0.01927998049,0.02685254412,0.1510053023
Ux_1D_to_T_1D,44,0.22,0.1456706869,0.01806642953,0.02562010785,0.1276042574
Ux_1D_to_T_1D,45,0.225,0.1260152621,0.01929619391,0.02727645272,0.1067190682
Ux_1D_to_T_1D,46,0.23,0.09682808952,0.0202728104,0.02712903263,0.07655527912
Ux_1D_to_T_1D,47,0.235,0.07254077974,0.01889558097,0.02803635311,0.05364519877
Ux_1D_to_T_1D,48,0.24,0.05447870983,0.01920830952,0.02666737952,0.03527040031
Ux_1D_to_T_1D,49,0.245,0.07883243119,0.01956104286,0.0278022106,0.05927138834
Ux_1D_to_T_1D,50,0.25,0.1017736025,0.0189099365,0.02737485598,0.08286366602
Ux_1D_to_T_1D,51,0.255,0.1399421644,0.01903775773,0.0261223909,0.1209044067
Ux_1D_to_T_1D,52,0.26,0.1497260996,0.01938853624,0.02836370189,0.1303375633
Ux_1D_to_T_1D,53,0.265,0.1555427473,0.01935308303,0.02768558588,0.1361896642
Ux_1D_to_T_1D,54,0.27,0.1530225166,0.01954712414,0.02870022069,0.1334753925
Ux_1D_to_T_1D,55,0.275,0.1835048638,0.01986357532,0.02954612424,0.1636412885
Ux_1D_to_T_1D,56,0.28,0.1850997709,0.01933018234,0.02896384728,0.1657695886
Ux_1D_to_T_1D,57,0.285,0.2094624246,0.01966411697,0.02781615995,0.1897983077
Ux_1D_to_T_1D,58,0.29,0.2253634117,0.02047958707,0.02861742373,0.2048838247
Ux_1D_to_T_1D,59,0.295,0.2008828162,0.02019946711,0.02973618593,0.1806833491
Ux_1D_to_T_1D,60,0.3,0.1872897477,0.01844683869,0.0270828425,0.168842909
Ux_1D_to_T_1D,61,0.305,0.1566195652,0.01865805183,0.0262740055,0.1379615133
Ux_1D_to_T_1D,62,0.31,0.1366697631,0.01929775466,0.02862960505,0.1173720085
Ux_1D_to_T_1D,63,0.315,0.08196512969,0.01944805528,0.0271026414,0.06251707441
Ux_1D_to_T_1D,64,0.32,0.09684902751,0.02002024882,0.02758859267,0.07682877869
Ux_1D_to_T_1D,65,0.325,0.1050027391,0.0197878819,0.02676540043,0.08521485718
Ux_1D_to_T_1D,66,0.33,0.1336409705,0.01969114798,0.02884504125,0.1139498225
Ux_1D_to_T_1D,67,0.335,0.1569126876,0.01991276085,0.02809516249,0.1369999268
Ux_1D_to_T_1D,68,0.34,0.1594827745,0.01918043398,0.02848407744,0.1403023405
Ux_1D_to_T_1D,69,0.345,0.1602468988,0.01904366191,0.03001750455,0.1412032369
Ux_1D_to_T_1D,70,0.35,0.1622635172,0.0198814714,0.02992763726,0.1423820458
Ux_1D_to_T_1D,71,0.355,0.1593961343,0.01823896855,0.02654709897,0.1411571657
Ux_1D_to_T_1D,72,0.36,0.1678962092,0.01992665367,0.03014566625,0.1479695555
Ux_1D_to_T_1D,73,0.365,0.1607689583,0.02030672061,0.02844317503,0.1404622377
Ux_1D_to_T_1D,74,0.37,0.1618635247,0.01967708375,0.02860978873,0.142186441
Ux_1D_to_T_1D,75,0.375,0.1605071182,0.0200264981,0.02807754647,0.1404806201
Ux_1D_to_T_1D,76,0.38,0.1509396578,0.0188884235,0.02575303183,0.1320512343
Ux_1D_to_T_1D,77,0.385,0.1366076917,0.01943651712,0.02750043025,0.1171711746
Ux_1D_to_T_1D,78,0.39,0.1120716915,0.01994700669,0.03099830325,0.09212468484
Ux_1D_to_T_1D,79,0.395,0.06811925765,0.01984342013,0.0286349901,0.04827583752
Ux_1D_to_T_1D,80,0.4,0.02893718664,0.02009705957,0.02934455639,0.00884012707
Ux_1D_to_T_1D,81,0.405,0.05959497113,0.02010479297,0.02833733524,0.03949017816
Ux_1D_to_T_1D,82,0.41,0.08969689061,0.02033794262,0.02929736985,0.06935894799
Ux_1D_to_T_1D,83,0.415,0.1077580218,0.01933369087,0.02749310678,0.0884243309
Ux_1D_to_T_1D,84,0.42,0.1312494308,0.02098091123,0.02957404788,0.1102685196
Ux_1D_to_T_1D,85,0.425,0.1320077548,0.01937784797,0.02652885314,0.1126299068
Ux_1D_to_T_1D,86,0.43,0.1447992039,0.01976647485,0.02878553768,0.1250327291
Ux_1D_to_T_1D,87,0.435,0.177686635,0.02038541651,0.03072030712,0.1573012185
Ux_1D_to_T_1D,88,0.44,0.1741852494,0.01973267787,0.02861531837,0.1544525715
Ux_1D_to_T_1D,89,0.445,0.1703294953,0.02006729862,0.02829689315,0.1502621966
Ux_1D_to_T_1D,90,0.45,0.1604871153,0.01927852052,0.02695234462,0.1412085948
Ux_1D_to_T_1D,91,0.455,0.1562122658,0.02037391859,0.03018802618,0.1358383472
Ux_1D_to_T_1D,92,0.46,0.1554772813,0.0200005609,0.02743058673,0.1354767204
Ux_1D_to_T_1D,93,0.465,0.1240830282,0.02094576989,0.0285154779,0.1031372583
Ux_1D_to_T_1D,94,0.47,0.110352506,0.02012574924,0.02979727695,0.09022675672
Ux_1D_to_T_1D,95,0.475,0.06776957302,0.02021310256,0.0281601908,0.04755647046
Ux_1D_to_T_1D,96,0.48,0.07136768852,0.0200362033,0.02728100971,0.05133148522
Ux_1D_to_T_1D,97,0.485,0.07755800044,0.02080907833,0.02924516146,0.05674892211
Ux_1D_to_T_1D,98,0.49,0.112369619,0.02008357741,0.02758645286,0.09228604162
Ux_1D_to_T_1D,99,0.495,0.1435810513,0.02033828327,0.03084936862,0.123242768
Ux_1D_to_T_1D,100,0.5,0.1487274024,0.02047824488,0.02864879677,0.1282491575
Ux_1D_to_T_1D,101,0.505,0.1603117441,0.02018446984,0.02796559428,0.1401272742
Ux_1D_to_T_1D,102,0.51,0.1644030046,0.02049405593,0.0287486687,0.1439089487
Ux_1D_to_T_1D,103,0.515,0.1772612971,0.02060119486,0.0294095703,0.1566601023
Ux_1D_to_T_1D,104,0.52,0.1793365852,0.02041424293,0.02976478262,0.1589223423
Ux_1D_to_T_1D,105,0.525,0.1856966442,0.0210874862,0.03064269848,0.164609158
Ux_1D_to_T_1D,106,0.53,0.1687925659,0.02085347606,0.02994945221,0.1479390898
Ux_1D_to_T_1D,107,0.535,0.1770432312,0.01978570633,0.02679050833,0.1572575249
Ux_1D_to_T_1D,108,0.54,0.1522647652,0.01987909709,0.02653126955,0.1323856681
Ux_1D_to_T_1D,109,0.545,0.1395191015,0.02085357556,0.02998916408,0.118665526
Ux_1D_to_T_1D,110,0.55,0.106938445,0.02018932632,0.0307229259,0.08674911871
Ux_1D_to_T_1D,111,0.555,0.07833787019,0.0209870603,0.0316214089,0.05735080989
Ux_1D_to_T_1D,112,0.56,0.03751781739,0.02003375694,0.02700395705,0.01748406045
Ux_1D_to_T_1D,113,0.565,0.05255051944,0.0199266543,0.02753408404,0.03262386514
Ux_1D_to_T_1D,114,0.57,0.09595927094,0.02028339425,0.02922203014,0.07567587669
Ux_1D_to_T_1D,115,0.575,0.1102510582,0.01986440058,0.02733589414,0.09038665757
Ux_1D_to_T_1D,116,0.58,0.1403819891,0.01969578585,0.02830915618,0.1206862033
Ux_1D_to_T_1D,117,0.585,0.132895798,0.02011122348,0.02745522125,0.1127845745
Ux_1D_to_T_1D,118,0.59,0.1307737266,0.02024010798,0.03024601237,0.1105336186
Ux_1D_to_T_1D,119,0.595,0.1508386344,0.02081426185,0.02918138897,0.1300243726
Ux_1D_to_T_1D,120,0.6,0.1721166228,0.01990407242,0.02814936581,0.1522125504
T_1D_to_Ux_1D,1,0.005,0.2057542538,0.02131856273,0.02725316169,0.1844356911
T_1D_to_Ux_1D,2,0.01,0.1878554838,0.02214769447,0.0291090181,0.1657077893
T_1D_to_Ux_1D,3,0.015,0.1033688527,0.02330277137,0.03322387425,0.08006608136
T_1D_to_Ux_1D,4,0.02,0.06888667927,0.02212354304,0.030564519,0.04676313623
T_1D_to_Ux_1D,5,0.025,0.07071059241,0.02273941394,0.0314081756,0.04797117847
T_1D_to_Ux_1D,6,0.03,0.1157927308,0.02214182383,0.02992287206,0.09365090693
T_1D_to_Ux_1D,7,0.035,0.1383187529,0.02135326182,0.02865393064,0.116965491
T_1D_to_Ux_1D,8,0.04,0.1381094003,0.02200963114,0.03127550522,0.1160997692
T_1D_to_Ux_1D,9,0.045,0.1526873855,0.02236621803,0.02902763786,0.1303211675
T_1D_to_Ux_1D,10,0.05,0.1464500072,0.02228480746,0.0301333669,0.1241651997
T_1D_to_Ux_1D,11,0.055,0.1531880856,0.02004753849,0.03060181902,0.1331405471
T_1D_to_Ux_1D,12,0.06,0.1596912043,0.01974034925,0.0290350658,0.1399508551
T_1D_to_Ux_1D,13,0.065,0.1479586784,0.01923357271,0.02866150118,0.1287251057
T_1D_to_Ux_1D,14,0.07,0.1468862617,0.01930627898,0.02832708375,0.1275799827
T_1D_to_Ux_1D,15,0.075,0.1577091199,0.01825120685,0.02423927655,0.139457913
T_1D_to_Ux_1D,16,0.08,0.1482632254,0.017771406,0.02523804827,0.1304918194
T_1D_to_Ux_1D,17,0.085,0.1308037276,0.01873445113,0.02663930227,0.1120692765
T_1D_to_Ux_1D,18,0.09,0.1024226065,0.01867790385,0.02608210998,0.08374470269
T_1D_to_Ux_1D,19,0.095,0.08117831529,0.01895555608,0.02502299236,0.06222275921
T_1D_to_Ux_1D,20,0.1,0.05299381818,0.01814672547,0.02703503599,0.03484709271
T_1D_to_Ux_1D,21,0.105,0.06212879534,0.01891345114,0.02776756143,0.0432153442
T_1D_to_Ux_1D,22,0.11,0.09287461157,0.01910448787,0.0282124427,0.0737701237
T_1D_to_Ux_1D,23,0.115,0.1354955359,0.01844846688,0.02700372615,0.117047069
T_1D_to_Ux_1D,24,0.12,0.1481054754,0.01887948582,0.0261762141,0.1292259896
T_1D_to_Ux_1D,25,0.125,0.1648684404,0.01818327446,0.02613287132,0.146685166
T_1D_to_Ux_1D,26,0.13,0.1576380746,0.01869237527,0.02879061391,0.1389456994
T_1D_to_Ux_1D,27,0.135,0.1590201252,0.02010535479,0.02938967079,0.1389147704
T_1D_to_Ux_1D,28,0.14,0.1635902854,0.01800579586,0.02482297984,0.1455844895
T_1D_to_Ux_1D,29,0.145,0.1703292798,0.01998310039,0.02793680833,0.1503461794
T_1D_to_Ux_1D,30,0.15,0.1610279804,0.0185796163,0.02649904321,0.1424483641
T_1D_to_Ux_1D,31,0.155,0.134445481,0.01892420056,0.02617072144,0.1155212804
T_1D_to_Ux_1D,32,0.16,0.1439520621,0.01836886717,0.02634700096,0.1255831949
T_1D_to_Ux_1D,33,0.165,0.1359547786,0.01906632686,0.02685469817,0.1168884518
T_1D_to_Ux_1D,34,0.17,0.1131425041,0.01859770721,0.027193805,0.09454479686
T_1D_to_Ux_1D,35,0.175,0.06648220308,0.01809609753,0.02544751443,0.04838610555
T_1D_to_Ux_1D,36,0.18,0.05554781711,0.01880739749,0.0266258914,0.03674041962
T_1D_to_Ux_1D,37,0.185,0.06242232494,0.01994422,0.027638476,0.04247810494
T_1D_to_Ux_1D,38,0.19,0.09261434024,0.01843544785,0.02681524115,0.07417889239
T_1D_to_Ux_1D,39,0.195,0.1140540269,0.01958417035,0.02584163869,0.09446985652
T_1D_to_Ux_1D,40,0.2,0.1166254885,0.01904455898,0.02651947359,0.09758092956
T_1D_to_Ux_1D,41,0.205,0.1299496727,0.01986416143,0.02980992475,0.1100855113
T_1D_to_Ux_1D,42,0.21,0.1357110328,0.01882646443,0.02560670215,0.1168845684
T_1D_to_Ux_1D,43,0.215,0.1463944787,0.01886126379,0.0280679432,0.1275332149
T_1D_to_Ux_1D,44,0.22,0.1511622946,0.01899423681,0.02752611445,0.1321680578
T_1D_to_Ux_1D,45,0.225,0.1354794116,0.01937783658,0.02863686752,0.116101575
T_1D_to_Ux_1D,46,0.23,0.1474527235,0.01850565869,0.0253476796,0.1289470648
T_1D_to_Ux_1D,47,0.235,0.1518733346,0.01913031679,0.02702490246,0.1327430178
T_1D_to_Ux_1D,48,0.24,0.1326027469,0.0186665376,0.02589757991,0.1139362093
T_1D_to_Ux_1D,49,0.245,0.1379493485,0.01994648829,0.02841835204,0.1180028602
T_1D_to_Ux_1D,50,0.25,0.116070996,0.01966139795,0.02725097832,0.096409598
T_1D_to_Ux_1D,51,0.255,0.07242810961,0.01904661941,0.02919997648,0.0533814902
T_1D_to_Ux_1D,52,0.26,0.04394914074,0.01948516247,0.02743427191,0.02446397826
T_1D_to_Ux_1D,53,0.265,0.05423804545,0.01966748707,0.02930864054,0.03457055837
T_1D_to_Ux_1D,54,0.27,0.09548705431,0.01912284065,0.02691756462,0.07636421366
T_1D_to_Ux_1D,55,0.275,0.1198502573,0.01940850828,0.02737059791,0.100441749
T_1D_to_Ux_1D,56,0.28,0.1314887269,0.01901731549,0.02732917435,0.1124714114
T_1D_to_Ux_1D,57,0.285,0.1318983884,0.01942287554,0.02773743985,0.1124755129
T_1D_to_Ux_1D,58,0.29,0.1340784559,0.01926277979,0.02862106348,0.1148156761
T_1D_to_Ux_1D,59,0.295,0.1468149687,0.01919964469,0.02715546613,0.127615324
T_1D_to_Ux_1D,60,0.3,0.1391932902,0.01957741132,0.0283513005,0.1196158788
T_1D_to_Ux_1D,61,0.305,0.1560779662,0.02009435847,0.02999252714,0.1359836078
T_1D_to_Ux_1D,62,0.31,0.1567031959,0.02026586042,0.02892203762,0.1364373355
T_1D_to_Ux_1D,63,0.315,0.151952827,0.01952443306,0.02882136466,0.132428394
T_1D_to_Ux_1D,64,0.32,0.1675068762,0.01903115717,0.02690876577,0.148475719
T_1D_to_Ux_1D,65,0.325,0.1415381434,0.01965184882,0.03050231202,0.1218862946
T_1D_to_Ux_1D,66,0.33,0.1196895959,0.01995505495,0.028937463,0.09973454093
T_1D_to_Ux_1D,67,0.335,0.08017679889,0.01972046083,0.02687945933,0.06045633806
T_1D_to_Ux_1D,68,0.34,0.04367421033,0.0193859051,0.02848552628,0.02428830522
T_1D_to_Ux_1D,69,0.345,0.04926837181,0.02008297336,0.0308206397,0.02918539845
T_1D_to_Ux_1D,70,0.35,0.08603108532,0.01937727384,0.02800045023,0.06665381148
T_1D_to_Ux_1D,71,0.355,0.1191103135,0.01926533286,0.02647887176,0.0998449806
T_1D_to_Ux_1D,72,0.36,0.1235824912,0.01992255155,0.0294337851,0.1036599397
T_1D_to_Ux_1D,73,0.365,0.139317431,0.01983667421,0.02879700336,0.1194807568
T_1D_to_Ux_1D,74,0.37,0.13340237,0.0203747114,0.02951143897,0.1130276586
T_1D_to_Ux_1D,75,0.375,0.1482818142,0.01983839817,0.0285974504,0.128443416
T_1D_to_Ux_1D,76,0.38,0.1590072494,0.01919118117,0.0265170849,0.1398160682
T_1D_to_Ux_1D,77,0.385,0.1373055815,0.01911325006,0.02637306166,0.1181923315
T_1D_to_Ux_1D,78,0.39,0.1307458585,0.01944783175,0.02772820573,0.1112980267
T_1D_to_Ux_1D,79,0.395,0.1342104215,0.01992466343,0.02776271327,0.114285758
